"","Illumination","dayofyear","starttime","endtime","site","NestNumber","year","nest","Sunrise","Sunset","Illumination.sc","dayofyear.sc","starttime.sc","endtime.sc","starttime.sq","starttime.sqrt","starttime.log","starttime.sqrtsc","Sunrisetime.sc","Sunsettime.sc"
"30",2.7,145,20580,73680,"CA","CA19",2006,19,21120,72900,-2.01666379202333,-0.710216830673498,0.235037114164751,-1.0273057028251,423536400,143.457310723434,9.93207500938804,0.268986775865254,0.873307804098791,0.847626411471141
"31",2.7,145,20220,74340,"CA","CA191",2006,191,21120,72900,-2.01666379202333,-0.710216830673498,0.0945672088306411,-0.865451867610554,408848400,142.197046382828,9.91442749257446,0.127475223479526,0.873307804098791,0.847626411471141
"35",0.3,146,20100,74220,"CA","CA191",2006,191,21060,72960,-2.09379837487915,-0.617945018232198,0.0477439070526044,-0.894879837649561,404010000,141.774468787578,9.90847509404717,0.0800251690898597,0.844209194693833,0.84925514674829
"39",0.7,147,19740,74160,"CA","CA191",2006,191,21060,73020,-2.08094261106985,-0.525673205790898,-0.0927259982815057,-0.909593822669065,389667600,140.499110317468,9.89040231298747,-0.0631812608141288,0.844209194693833,0.850883882025439
"40",0.7,147,20820,74040,"CA","CA194",2006,194,21060,73020,-2.08094261106985,-0.525673205790898,0.328683717720825,-0.939021792708073,433472400,144.291371883422,9.94366934216896,0.362641167036604,0.844209194693833,0.850883882025439
"41",0.7,147,19920,74460,"CA","CA200",2006,200,21060,73020,-2.08094261106985,-0.525673205790898,-0.0224910456144506,-0.836023897571546,396806400,141.138230115019,9.89947953113859,0.00858371086501786,0.844209194693833,0.850883882025439
"42",0.7,147,19684,74716,"CA","CA203",2006,203,21060,73020,-2.08094261106985,-0.525673205790898,-0.114576872444589,-0.773244228154996,387459856,140.299679258365,9.88756140198587,-0.0855748157678705,0.844209194693833,0.850883882025439
"44",3.5,148,20040,66840,"CA","CA191",2006,191,21000,73020,-1.99095226440473,-0.433401393349598,0.0243322561635861,-2.70469999504854,401601600,141.562706953491,9.9054855551988,0.0562470259557829,0.815110585288874,0.850883882025439
"45",3.5,148,20520,74100,"CA","CA194",2006,194,21000,73020,-1.99095226440473,-0.433401393349598,0.211625463275733,-0.924307807688569,421070400,143.24803663576,9.9291552992847,0.245487974806845,0.815110585288874,0.850883882025439
"46",3.5,148,19740,74100,"CA","CA200",2006,200,21000,73020,-1.99095226440473,-0.433401393349598,-0.0927259982815057,-0.924307807688569,389667600,140.499110317468,9.89040231298747,-0.0631812608141288,0.815110585288874,0.850883882025439
"48",8.5,149,20340,74340,"CA","CA160",2006,160,21000,73080,-1.83025521678844,-0.341129580908298,0.141390510608678,-0.865451867610554,413715600,142.618371888057,9.92034466960255,0.17478468418834,0.815110585288874,0.852512617302589
"49",8.5,149,20700,74460,"CA","CA194",2006,194,21000,73080,-1.83025521678844,-0.341129580908298,0.281860415942788,-0.836023897571546,428490000,143.874945699382,9.93788897925346,0.315881837379419,0.815110585288874,0.852512617302589
"50",8.5,149,19920,74280,"CA","CA200",2006,200,21000,73080,-1.83025521678844,-0.341129580908298,-0.0224910456144506,-0.880165852630058,396806400,141.138230115019,9.89947953113859,0.00858371086501786,0.815110585288874,0.852512617302589
"56",15.3,150,20160,74400,"CA","CA200",2006,200,21000,73140,-1.61170723203029,-0.248857768466998,0.0711555579416228,-0.85073788259105,406425600,141.985914794391,9.9114557221853,0.103767848864007,0.815110585288874,0.854141352579738
"58",23.3,151,20160,73500,"CA","CA19",2006,19,20940,73140,-1.35459195584422,-0.156585956025698,0.0711555579416228,-1.07144765788361,406425600,141.985914794391,9.9114557221853,0.103767848864007,0.786011975883916,0.854141352579738
"59",23.3,151,20220,73740,"CA","CA196",2006,196,20940,73140,-1.35459195584422,-0.156585956025698,0.0945672088306411,-1.01259171780559,408848400,142.197046382828,9.91442749257446,0.127475223479526,0.786011975883916,0.854141352579738
"60",23.3,151,20220,74580,"CA","CA198",2006,198,20940,73140,-1.35459195584422,-0.156585956025698,0.0945672088306411,-0.806595927532538,408848400,142.197046382828,9.91442749257446,0.127475223479526,0.786011975883916,0.854141352579738
"61",23.3,151,20460,74100,"CA","CA200",2006,200,20940,73140,-1.35459195584422,-0.156585956025698,0.188213812386715,-0.924307807688569,418611600,143.03845636751,9.92622703950562,0.22195479358932,0.786011975883916,0.854141352579738
"62",23.3,151,20160,73380,"CA","CA29",2006,29,20940,73140,-1.35459195584422,-0.156585956025698,0.0711555579416228,-1.10087562792262,406425600,141.985914794391,9.9114557221853,0.103767848864007,0.786011975883916,0.854141352579738
"74",42.3,153,20640,74100,"AK","AK3",2006,3,14700,75000,-0.743943174902321,0.027957668856902,0.25844876505377,-0.924307807688569,426009600,143.666279968544,9.9349862195955,0.292451347005991,-2.24024340223174,0.904632146171365
"75",41.7,153,19466,74068,"CA","CA164",2006,164,20940,73260,-0.763226820616276,0.027957668856902,-0.199639204008023,-0.932155266365638,378925156,139.520607796841,9.87642463298644,-0.173054567743166,0.786011975883916,0.857398823134036
"76",41.7,153,20419,74289,"CA","CA187",2006,187,20940,73260,-0.763226820616276,0.027957668856902,0.172215850945885,-0.877958754877132,416935561,142.89506639489,9.92422111892303,0.205853935247005,0.786011975883916,0.857398823134036
"77",41.7,153,19980,74160,"CA","CA190",2006,190,20940,73260,-0.763226820616276,0.027957668856902,0.000920605274567732,-0.909593822669065,399200400,141.350627872677,9.90248705220255,0.0324332600754476,0.786011975883916,0.857398823134036
"78",41.7,153,20040,73860,"CA","CA30",2006,30,20940,73260,-0.763226820616276,0.027957668856902,0.0243322561635861,-0.983163747766585,401601600,141.562706953491,9.9054855551988,0.0562470259557829,0.786011975883916,0.857398823134036
"79",41.7,153,19380,73800,"CA","CA32",2006,32,20940,73260,-0.763226820616276,0.027957668856902,-0.233195903615616,-0.997877732786089,375584400,139.212068442359,9.87199688544476,-0.207699587536296,0.786011975883916,0.857398823134036
"87",51.4,154,21000,64980,"CA","CA30",2006,30,20880,73260,-0.451474548240674,0.120229481298202,0.39891867038788,-3.16083353065316,4.41e+08,144.913767461894,9.95227771670556,0.432528223005532,0.756913366478958,0.857398823134036
"88",51.4,154,20520,65160,"CA","CA32",2006,32,20880,73260,-0.451474548240674,0.120229481298202,0.211625463275733,-3.11669157559465,421070400,143.24803663576,9.9291552992847,0.245487974806845,0.756913366478958,0.857398823134036
"90",61.1,155,20160,74280,"CA","CA196",2006,196,20880,73320,-0.139722275865072,0.212501293739502,0.0711555579416228,-0.880165852630058,406425600,141.985914794391,9.9114557221853,0.103767848864007,0.756913366478958,0.859027558411186
"91",61.1,155,19680,74340,"CA","CA200",2006,200,20880,73320,-0.139722275865072,0.212501293739502,-0.116137649170524,-0.865451867610554,387302400,140.285423334001,9.88735817060624,-0.0871755735790153,0.756913366478958,0.859027558411186
"93",61.1,155,20400,74460,"CA","CA60",2006,60,20880,73320,-0.139722275865072,0.212501293739502,0.164802161497696,-0.836023897571546,416160000,142.828568570857,9.92329017983231,0.198387080868943,0.756913366478958,0.859027558411186
"103",79,157,20411,74713,"CA","CA158",2006,158,20820,73380,0.435573154601244,0.397044918622102,0.169094297494016,-0.773979927405971,416608921,142.867071083578,9.92382925019404,0.202710420163947,0.727814757074,0.860656293688335
"104",79,157,20406,75075,"CA","CA159",2006,159,20820,73380,0.435573154601244,0.397044918622102,0.167143326586598,-0.685205551121631,416404836,142.849571227918,9.92358425423525,0.200745410394867,0.727814757074,0.860656293688335
"106",79,157,19740,75120,"CA","CA198",2006,198,20820,73380,0.435573154601244,0.397044918622102,-0.0927259982815057,-0.674170062357003,389667600,140.499110317468,9.89040231298747,-0.0631812608141288,0.727814757074,0.860656293688335
"107",79,157,20520,74640,"CA","CA23",2006,23,20820,73380,0.435573154601244,0.397044918622102,0.211625463275733,-0.791881942513034,421070400,143.24803663576,9.9291552992847,0.245487974806845,0.727814757074,0.860656293688335
"108",86.6,158,20318,75127,"CA","CA158",2006,158,20820,73440,0.679832666978004,0.489316731063402,0.132806238616038,-0.672453430771394,412821124,142.541222107852,9.91926247165149,0.166121751491455,0.727814757074,0.862285028965484
"109",86.6,158,20552,75023,"CA","CA159",2006,159,20820,73440,0.679832666978004,0.489316731063402,0.224111677083209,-0.697957671471867,422384704,143.359687499659,9.93071353878972,0.258024937542793,0.727814757074,0.862285028965484
"110",86.6,158,22800,75480,"CA","CA194",2006,194,20820,73440,0.679832666978004,0.489316731063402,1.10126819705843,-0.585886152239979,519840000,150.996688705415,10.0345158149425,1.11556240914796,0.727814757074,0.862285028965484
"111",86.6,158,19920,76020,"CA","CA198",2006,198,20820,73440,0.679832666978004,0.489316731063402,-0.0224910456144506,-0.453460287064444,396806400,141.138230115019,9.89947953113859,0.00858371086501786,0.727814757074,0.862285028965484
"112",86.6,158,20460,74580,"CA","CA23",2006,23,20820,73440,0.679832666978004,0.489316731063402,0.188213812386715,-0.806595927532538,418611600,143.03845636751,9.92622703950562,0.22195479358932,0.727814757074,0.862285028965484
"122",95.45,160,20220,75060,"AK","AK3",2006,3,14220,82860,0.964266441258837,0.673860355946002,0.0945672088306411,-0.688884047376507,408848400,142.197046382828,9.91442749257446,0.127475223479526,-2.47303227747141,1.11799646747792
"123",97.3,160,20402,74835,"CA","CA164",2006,164,20820,73500,1.02372434887686,0.673860355946002,0.165582549860663,-0.744061491199646,416241604,142.835569799683,9.92338821424246,0.199173229240992,0.727814757074,0.863913764242633
"124",97.3,160,20520,75360,"CA","CA60",2006,60,20820,73500,1.02372434887686,0.673860355946002,0.211625463275733,-0.615314122278987,421070400,143.24803663576,9.9291552992847,0.245487974806845,0.727814757074,0.863913764242633
"125",97.5,161,20040,74940,"AK","AK3",2006,3,14160,82980,1.03015223078152,0.766132168387302,0.0243322561635861,-0.718312017415515,401601600,141.562706953491,9.9054855551988,0.0562470259557829,-2.50213088687637,1.12125393803222
"129",98.45,161,20040,74940,"CA","CA60",2006,60,20820,73500,1.06068466982861,0.766132168387302,0.0243322561635861,-0.718312017415515,401601600,141.562706953491,9.9054855551988,0.0562470259557829,0.727814757074,0.863913764242633
"130",99.7,162,19740,74760,"AK","AK3",2006,3,14100,83040,1.10085893173268,0.858403980828602,-0.0927259982815057,-0.762453972474026,389667600,140.499110317468,9.89040231298747,-0.0631812608141288,-2.53122949628133,1.12288267330937
"131",99.6,162,19800,74760,"CA","CA190",2006,190,20820,73560,1.09764499078036,0.858403980828602,-0.0693143473924873,-0.762453972474026,392040000,140.712472794703,9.89343721668263,-0.0392233859449137,0.727814757074,0.865542499519783
"132",99.6,162,19980,74160,"CA","CA207",2006,207,20820,73560,1.09764499078036,0.858403980828602,0.000920605274567732,-0.909593822669065,399200400,141.350627872677,9.90248705220255,0.0324332600754476,0.727814757074,0.865542499519783
"133",99.6,162,20280,74760,"CA","CA60",2006,60,20820,73560,1.09764499078036,0.858403980828602,0.117978859719659,-0.762453972474026,411278400,142.407864951343,9.91739045770512,0.151147449964981,0.727814757074,0.865542499519783
"138",61.2,168,31500,82200,"AK","AK11",2006,11,13920,83340,-0.136508334912747,1.4120348554764,4.49595757596609,1.06208016994446,992250000,177.482393492988,10.3577428248137,4.08956800444622,-2.6185253244962,1.13102634969511
"140",61.2,168,28260,82800,"AK","AK21",2006,21,13920,83340,-0.136508334912747,1.4120348554764,3.2317284279591,1.2092200201395,798627600,168.107108713463,10.2492026562385,3.03684353985483,-2.6185253244962,1.13102634969511
"141",61.2,168,28380,82800,"AK","AK23",2006,23,13920,83340,-0.136508334912747,1.4120348554764,3.27855172973714,1.2092200201395,805424400,168.463645929916,10.253439950714,3.07687810511059,-2.6185253244962,1.13102634969511
"142",49.4,169,16020,79380,"AK","AK11",2006,11,13920,83340,-0.51575336728719,1.5043066679177,-1.54424835340064,0.370522874027775,256640400,126.570138658374,9.68159322062235,-1.62722646871556,-2.6185253244962,1.13102634969511
"144",49.4,169,17460,80700,"AK","AK21",2006,21,13920,83340,-0.51575336728719,1.5043066679177,-0.982368732064203,0.694230544456861,304851600,132.136293273271,9.76766782939359,-1.00221855966542,-2.6185253244962,1.13102634969511
"145",49.4,169,16440,79320,"AK","AK23",2006,23,13920,83340,-0.51575336728719,1.5043066679177,-1.38036679717751,0.355808889008271,270273600,128.218563398597,9.70747266861017,-1.44212947242376,-2.6185253244962,1.13102634969511
"146",37.7,170,15060,81780,"AK","AK11",2006,11,13920,83340,-0.891784458709308,1.596578480359,-1.91883476762494,0.959082274807932,226803600,122.71919165314,9.61979750135388,-2.05963852014556,-2.6185253244962,1.13102634969511
"147",37.7,170,15960,81720,"AK","AK12",2006,12,13920,83400,-0.891784458709308,1.596578480359,-1.56766000428966,0.944368289788428,254721600,126.33289357883,9.6778408710038,-1.65386605409489,-2.6185253244962,1.13265508497226
"149",37.7,170,15420,81120,"AK","AK21",2006,21,13920,83400,-0.891784458709308,1.596578480359,-1.77836486229083,0.797228439593389,237776400,124.177292610203,9.64342064711732,-1.8959124483043,-2.6185253244962,1.13265508497226
"150",37.7,170,15900,81300,"AK","AK23",2006,23,13920,83400,-0.891784458709308,1.596578480359,-1.59107165517868,0.8413703946519,252810000,126.095202129185,9.67407438820832,-1.68055576112247,-2.6185253244962,1.13265508497226
"154",26.8,171,18180,79800,"AK","AK2",2006,2,13920,83400,-1.24210402251282,1.6888502928003,-0.701428921395983,0.473520769164303,330512400,134.833230325465,9.80807736773147,-0.699387053095315,-2.6185253244962,1.13265508497226
"156",26.8,171,14760,80580,"AK","AK23",2006,23,13920,83400,-1.24210402251282,1.6888502928003,-2.03589302207003,0.664802574417853,217857600,121.4907403879,9.59967609815446,-2.19757787141739,-2.6185253244962,1.13265508497226
"158",17.2,172,17640,80700,"AK","AK10",2006,10,13920,83400,-1.5506423539361,1.7811221052416,-0.912133779397148,0.694230544456861,311169600,132.815661727072,9.77792432956078,-0.925934179125936,-2.6185253244962,1.13265508497226
"159",17.2,172,18540,78420,"AK","AK2",2006,2,13920,83400,-1.5506423539361,1.7811221052416,-0.560959016061873,0.135099113715712,343731600,136.161668614923,9.82768583911985,-0.550220438971162,-2.6185253244962,1.13265508497226
"160",17.2,172,25260,81000,"AK","AK23",2006,23,13920,83400,-1.5506423539361,1.7811221052416,2.06114588350818,0.767800469554381,638067600,158.933948544671,10.1369773959045,2.00681508158421,-2.6185253244962,1.13265508497226
"161",17.2,172,21480,82920,"AK","AK24",2006,24,13920,83400,-1.5506423539361,1.7811221052416,0.586211877500026,1.23864799017851,461390400,146.56056768449,9.9748775486228,0.617442806763781,-2.6185253244962,1.13265508497226
"162",17.2,172,30540,80880,"AK","AK53",2006,53,13920,83400,-1.5506423539361,1.7811221052416,4.1213711617418,0.738372499515373,932691600,174.756974109762,10.3267925787726,3.78353829671298,-2.6185253244962,1.13265508497226
"164",9.5,173,30360,84000,"AK","AK12",2006,12,13920,83400,-1.79811580726518,1.8733939176829,4.05113620907474,1.50349972052958,921729600,174.241212116996,10.3208812315096,3.72562482736677,-2.6185253244962,1.13265508497226
"166",9.5,173,30240,82500,"AK","AK21",2006,21,13920,83400,-1.79811580726518,1.8733939176829,4.0043129072967,1.13565009504198,914457600,173.896520954273,10.3169208302935,3.68692042229961,-2.6185253244962,1.13265508497226
"171",9.5,173,30720,75840,"AK","AK9",2006,9,13920,83400,-1.79811580726518,1.8733939176829,4.19160611440885,-0.497602242122956,943718400,175.271218401653,10.3326691872616,3.84128134767956,-2.6185253244962,1.13265508497226
"172",4,174,15360,85080,"AK","AK12",2006,12,13920,83400,-1.9748825596431,1.9656657301242,-1.80177651317985,1.76835145088065,235929600,123.935467078637,9.63952200670166,-1.9230663598098,-2.6185253244962,1.13265508497226
"173",4,174,16080,82140,"AK","AK21",2006,21,13920,83400,-1.9748825596431,1.9656657301242,-1.52083670251162,1.04736618492496,258566400,126.806939873179,9.68533154273296,-1.60063672366434,-2.6185253244962,1.13265508497226
"174",4,174,16140,83160,"AK","AK51",2006,51,13920,83400,-1.9748825596431,1.9656657301242,-1.49742505162261,1.29750393025652,260499600,127.043299705258,9.68905594182394,-1.57409654024295,-2.6185253244962,1.13265508497226
"185",0.3,176,15540,81060,"AK","AK10",2006,10,14040,83400,-2.09379837487915,2.1502093550068,-1.73154156051279,0.782514454573885,241491600,124.659536337979,9.65117262392164,-1.84176265103792,-2.56032810568628,1.13265508497226
"186",0.3,176,16020,80880,"AK","AK11",2006,11,14040,83400,-2.09379837487915,2.1502093550068,-1.54424835340064,0.738372499515373,256640400,126.570138658374,9.68159322062235,-1.62722646871556,-2.56032810568628,1.13265508497226
"187",0.3,176,14880,83880,"AK","AK23",2006,23,14040,83400,-2.09379837487915,2.1502093550068,-1.98906972029199,1.47407175049057,221414400,121.983605455815,9.60777330838708,-2.14223543362068,-2.56032810568628,1.13265508497226
"188",0.3,176,19500,82980,"AK","AK24",2006,24,14040,83400,-2.09379837487915,2.1502093550068,-0.186372601837579,1.25336197519801,380250000,139.642400437689,9.87816974455184,-0.15937881328416,-2.56032810568628,1.13265508497226
"189",0.3,176,19680,81000,"AK","AK55",2006,55,14040,83400,-2.09379837487915,2.1502093550068,-0.116137649170524,0.767800469554381,387302400,140.285423334001,9.88735817060624,-0.0871755735790153,-2.56032810568628,1.13265508497226
"190",0.3,176,17940,81840,"AK","AK8",2006,8,14040,83400,-2.09379837487915,2.1502093550068,-0.795075524952056,0.973796259827436,321843600,133.940285202026,9.79478813561279,-0.799653359569051,-2.56032810568628,1.13265508497226
"191",1.9,177,19320,83220,"AK","AK10",2006,10,14040,83400,-2.04237531964194,2.2424811674481,-0.256607554504634,1.31221791527603,373262400,138.996402831152,9.86889610776651,-0.231916074867309,-2.56032810568628,1.13265508497226
"192",1.9,177,17040,82200,"AK","AK11",2006,11,14040,83400,-2.04237531964194,2.2424811674481,-1.14625028828733,1.06208016994446,290361600,130.537350976646,9.74331880038331,-1.18175931098252,-2.56032810568628,1.13265508497226
"193",1.9,177,18720,82380,"AK","AK23",2006,23,14040,83400,-2.04237531964194,2.2424811674481,-0.490724063394818,1.10622212500297,350438400,136.821051011897,9.83734775003158,-0.476180236765109,-2.56032810568628,1.13265508497226
"194",1.9,177,20760,85200,"AK","AK24",2006,24,14040,83400,-2.04237531964194,2.2424811674481,0.305272066831806,1.79777942091965,430977600,144.083309234623,9.94078333727983,0.339278395055878,-2.56032810568628,1.13265508497226
"195",1.9,177,18600,82320,"AK","AK55",2006,55,14040,83400,-2.04237531964194,2.2424811674481,-0.537547365172854,1.09150813998347,345960000,136.381816969859,9.83091685970129,-0.525500596904417,-2.56032810568628,1.13265508497226
"196",1.9,177,15120,82980,"AK","AK8",2006,8,14040,83400,-2.04237531964194,2.2424811674481,-1.89542311673592,1.25336197519801,228614400,122.963409191515,9.62377364973352,-2.03221601689619,-2.56032810568628,1.13265508497226
"211",11.2,179,20208.96,82909.44,"AK","AK1",2006,1,14160,83340,-1.74347881107564,2.4270247923307,0.0902594650670614,1.23605832881507,408402064.2816,142.158221710881,9.91388134940014,0.123115709827515,-2.50213088687637,1.13102634969511
"212",11.2,179,21360,82320,"AK","AK21",2006,21,14160,83340,-1.74347881107564,2.4270247923307,0.53938857572199,1.09150813998347,456249600,146.150607251561,9.96927529307413,0.571409498186151,-2.50213088687637,1.13102634969511
"213",11.2,179,18000,82620,"AK","AK26",2006,26,14160,83340,-1.74347881107564,2.4270247923307,-0.771663874063038,1.16507806508099,3.24e+08,134.164078649987,9.7981270368783,-0.774524220217578,-2.50213088687637,1.13102634969511
"214",11.2,179,20160,82860,"AK","AK27",2006,27,14160,83340,-1.74347881107564,2.4270247923307,0.0711555579416228,1.223934005159,406425600,141.985914794391,9.9114557221853,0.103767848864007,-2.50213088687637,1.13102634969511
"215",11.2,179,20640,81660,"AK","AK51",2006,51,14160,83340,-1.74347881107564,2.4270247923307,0.25844876505377,0.929654304768924,426009600,143.666279968544,9.9349862195955,0.292451347005991,-2.50213088687637,1.13102634969511
"216",11.2,179,20280,83340,"AK","AK53",2006,53,14160,83340,-1.74347881107564,2.4270247923307,0.117978859719659,1.34164588531503,411278400,142.407864951343,9.91739045770512,0.151147449964981,-2.50213088687637,1.13102634969511
"217",11.2,179,21840,82260,"AK","AK58",2006,58,14160,83340,-1.74347881107564,2.4270247923307,0.726681782834137,1.07679415496396,476985600,147.783625615289,9.99149842985884,0.754776555619786,-2.50213088687637,1.13102634969511
"218",11.2,179,14820,83160,"AK","AK9",2006,9,14160,83340,-1.74347881107564,2.4270247923307,-2.01248137118101,1.29750393025652,219632400,121.737422348266,9.60373289885008,-2.16987864512638,-2.50213088687637,1.13102634969511
"219",18.2,180,15413.76,83531.52,"AK","AK1",2006,1,14220,83280,-1.51850294441284,2.519296604772,-1.78079967398328,1.38861292549729,237583997.3376,124.152164701225,9.64301589595592,-1.89873399081183,-2.47303227747141,1.12939761441796
"220",18.2,180,19260,81900,"AK","AK21",2006,21,14220,83280,-1.51850294441284,2.519296604772,-0.280019205393652,0.98851024484694,370947600,138.780402074645,9.86578568535212,-0.256170194725374,-2.47303227747141,1.12939761441796
"221",18.2,180,18360,84060,"AK","AK26",2006,26,14220,83280,-1.51850294441284,2.519296604772,-0.631193968728928,1.51821370554908,337089600,135.499077487635,9.81792966417448,-0.624620940515457,-2.47303227747141,1.12939761441796
"222",18.2,180,15360,83520,"AK","AK27",2006,27,14220,83280,-1.51850294441284,2.519296604772,-1.80177651317985,1.38578784037355,235929600,123.935467078637,9.63952200670166,-1.9230663598098,-2.47303227747141,1.12939761441796
"223",18.2,180,19980,83220,"AK","AK51",2006,51,14220,83280,-1.51850294441284,2.519296604772,0.000920605274567732,1.31221791527603,399200400,141.350627872677,9.90248705220255,0.0324332600754476,-2.47303227747141,1.12939761441796
"224",18.2,180,20460,83940,"AK","AK53",2006,53,14220,83280,-1.51850294441284,2.519296604772,0.188213812386715,1.48878573551007,418611600,143.03845636751,9.92622703950562,0.22195479358932,-2.47303227747141,1.12939761441796
"225",18.2,180,21060,82680,"AK","AK58",2006,58,14220,83280,-1.51850294441284,2.519296604772,0.422330321276898,1.17979205010049,443523600,145.120639469374,9.95513078568797,0.455757301207871,-2.47303227747141,1.12939761441796
"226",18.2,180,17640,82620,"AK","AK9",2006,9,14220,83280,-1.51850294441284,2.519296604772,-0.912133779397148,1.16507806508099,311169600,132.815661727072,9.77792432956078,-0.925934179125936,-2.47303227747141,1.12939761441796
"227",26.3,181,16683.84,82537.92,"AK","AK1",2006,1,14280,83220,-1.25817372727445,2.6115684172133,-1.28522184796454,1.1449493335743,278350517.1456,129.165939782901,9.72219586524448,-1.33575123214768,-2.44393366806645,1.12776887914082
"231",26.3,181,16680,82500,"AK","AK27",2006,27,14280,83220,-1.25817372727445,2.6115684172133,-1.28672019362144,1.13565009504198,278222400,129.151074327704,9.72196567591274,-1.3374204324687,-2.44393366806645,1.12776887914082
"235",26.3,181,20700,82080,"AK","AK58",2006,58,14280,83220,-1.25817372727445,2.6115684172133,0.281860415942788,1.03265219990545,428490000,143.874945699382,9.93788897925346,0.315881837379419,-2.44393366806645,1.12776887914082
